Mark;Site;Longit_d;Latit_d;Altit_d;X_m;Y_m;Z_m;Country;Section
TEM4;TEMR;73.33268;41.78520;1085.688;1366308.571;4563596.929;4228567.048;Kyrgyzstan;
TERK;TERK;71.14577;41.53885;1662.335;1545476.342;4525758.775;4208505.083;Kyrgyzstan;
TER4;TERK;71.14572;41.53886;1662.818;1545480.358;4525756.662;4208506.784;Kyrgyzstan;
TER5;TERK;71.14576;41.53896;1664.834;1545474.479;4525752.634;4208516.018;Kyrgyzstan;
TRM4;TERM;83.63027;50.38208;902.260;452184.759;4050630.599;4890693.633;Kazakhstan;
TERM;TERM;83.63028;50.38210;902.336;452183.784;4050629.328;4890694.877;Kazakhstan;
TRM5;TERM;83.63026;50.38212;901.886;452184.890;4050627.246;4890695.938;Kazakhstan;
TGU6;TGUZ;74.72197;41.51073;2597.562;1260898.208;4616020.177;4206785.794;Kyrgyzstan;
TGUZ;TGUZ;74.72198;41.51074;2597.954;1260896.981;4616019.404;4206787.639;Kyrgyzstan;
TGU5;TGUZ;74.72194;41.51075;2597.962;1260899.921;4616017.827;4206788.448;Kyrgyzstan;
TGU4;TGUZ;74.72198;41.51076;2598.372;1260896.795;4616018.580;4206789.175;Kyrgyzstan;
TKB4;TKB4;74.42132;42.78856;861.794;1259169.838;4516327.499;4310878.710;Kyrgyzstan;
TKB5;TKB4;74.42136;42.78856;861.867;1259166.963;4516328.487;4310878.624;Kyrgyzstan;
TKL4;TKLU;74.66367;42.60589;1748.239;1243867.335;4535514.489;4296563.527;Kyrgyzstan;
TKL5;TKLU;74.66372;42.60591;1748.988;1243863.425;4535514.504;4296565.760;Kyrgyzstan;
TKLU;TKLU;74.66371;42.60592;1748.821;1243863.905;4535513.939;4296565.990;Kyrgyzstan;
TOK4;TOKO;75.83691;42.35506;2166.044;1155422.074;4578581.645;4276289.969;Kyrgyzstan;
TOKO;TOKO;75.83687;42.35507;2165.520;1155425.448;4578579.644;4276290.148;Kyrgyzstan;
TOK5;TOKO;75.83693;42.35508;2165.475;1155419.778;4578580.034;4276291.448;Kyrgyzstan;
TOK6;TOKO;75.83684;42.35509;2165.948;1155426.944;4578578.121;4276292.337;Kyrgyzstan;
TOK7;TOKO;75.83685;42.35509;2165.513;1155425.554;4578577.899;4276292.255;Kyrgyzstan;
TON4;TON4;77.05237;42.15647;1596.978;1061270.490;4616110.349;4259575.723;Kyrgyzstan;
TORK;TORK;73.15950;41.89488;1353.942;1377799.224;4551858.382;4237823.446;Kyrgyzstan;
TOR4;TORK;73.15964;41.89502;1359.872;1377786.078;4551855.866;4237839.200;Kyrgyzstan;
TOR6;TORK;73.15964;41.89502;1359.750;1377785.890;4551856.293;4237838.887;Kyrgyzstan;
TOR5;TORK;73.15965;41.89502;1359.798;1377785.010;4551856.101;4237839.460;Kyrgyzstan;
TOS4;TOSS;77.31136;42.17626;1666.738;1040080.729;4619471.374;4261251.753;Kyrgyzstan;
TOS1;TOSS;77.31158;42.17639;1664.865;1040060.762;4619463.523;4261261.340;Kyrgyzstan;
TOSS;TOSS;77.31158;42.17639;1664.683;1040060.206;4619463.965;4261261.656;Kyrgyzstan;
TOS5;TOSS;77.31171;42.17652;1663.225;1040047.363;4619455.971;4261271.191;Kyrgyzstan;
TOS6;TOSS;77.31176;42.17659;1662.626;1040042.722;4619451.339;4261276.420;Kyrgyzstan;
TOS8;TOSS;77.31511;42.17686;1601.182;1039757.523;4619448.029;4261257.614;Kyrgyzstan;
TOS7;TOSS;77.31511;42.17690;1600.903;1039756.783;4619444.760;4261260.897;Kyrgyzstan;
TRB4;TRBT;69.66246;41.77852;903.919;1655763.177;4467111.271;4227892.647;Kazakhstan;
TRG5;TRGT;75.38275;40.57817;3548.753;1224930.811;4696784.104;4129264.701;Kyrgyzstan;
TRG6;TRGT;75.38276;40.57818;3548.830;1224930.261;4696783.159;4129266.043;Kyrgyzstan;
TRG4;TRGT;75.38275;40.57819;3548.657;1224931.070;4696782.282;4129266.531;Kyrgyzstan;
TRGT;TRGT;75.38275;40.57820;3548.415;1224930.015;4696781.444;4129267.478;Kyrgyzstan;
TRY5;TRKY;80.12623;45.51374;763.484;767806.214;4411250.878;4528083.907;Kazakhstan;
TRY4;TRKY;80.12622;45.51375;763.715;767806.397;4411250.137;4528084.912;Kazakhstan;
TRKY;TRKY;80.12619;45.51379;762.870;767808.492;4411246.149;4528087.233;Kazakhstan;
TRMS;TRMS;66.20564;40.31898;1143.479;1965125.007;4456720.605;4105795.149;Uzbekistan;
TRS5;TRMS;66.20561;40.31900;1143.792;1965126.523;4456719.049;4105796.571;Uzbekistan;
TRS4;TRMS;66.20565;40.31903;1144.542;1965122.643;4456718.578;4105800.094;Uzbekistan;
TSH5;TSHB;74.78987;42.05488;2111.067;1244762.372;4578286.791;4251545.828;Kyrgyzstan;
TSH6;TSHB;74.78987;42.05491;2110.802;1244761.853;4578284.054;4251548.513;Kyrgyzstan;
TSH1;TSHB;74.78985;42.05496;2110.527;1244761.278;4578270.640;4251560.884;Kyrgyzstan;
TSH2;TSHB;74.78985;42.05496;2110.527;1244760.501;4578291.543;4251541.354;Kyrgyzstan;
TSH4;TSHB;74.78985;42.05496;2110.527;1244762.425;4578279.818;4251552.468;Kyrgyzstan;
TSHB;TSHB;74.78985;42.05502;2110.068;1244761.097;4578275.355;4251557.013;Kyrgyzstan;
THR5;TSHR;75.26308;40.88852;2864.778;1228882.811;4671953.517;4154947.031;Kyrgyzstan;
THR6;TSHR;75.26310;40.88852;2865.048;1228881.447;4671953.921;4154947.508;Kyrgyzstan;
THR4;TSHR;75.26314;40.88852;2864.743;1228877.597;4671955.153;4154946.783;Kyrgyzstan;
TSHR;TSHR;75.26310;40.88854;2865.296;1228880.975;4671953.272;4154948.797;Kyrgyzstan;
TTR7;TTRT;77.11969;42.08763;2418.677;1057124.514;4622949.790;4254453.311;Kyrgyzstan;
TTRT;TTRT;77.11968;42.08765;2418.838;1057125.784;4622947.938;4254455.220;Kyrgyzstan;
TTR5;TTRT;77.11963;42.08766;2418.531;1057129.753;4622946.578;4254455.253;Kyrgyzstan;
TTR4;TTRT;77.11965;42.08768;2419.557;1057127.967;4622946.190;4254457.646;Kyrgyzstan;
TUAK;TUAK;78.94840;42.41516;2791.298;904424.074;4630581.828;4281643.946;Kyrgyzstan;
TUA4;TUAK;78.94830;42.41517;2788.623;904430.208;4630577.939;4281643.157;Kyrgyzstan;
TUA5;TUAK;78.94832;42.41524;2789.281;904428.203;4630573.265;4281649.584;Kyrgyzstan;
TUA6;TUAK;78.94836;42.41528;2790.200;904424.700;4630571.564;4281653.513;Kyrgyzstan;
TUAS;TUAS;73.82422;42.31998;2920.524;1316399.524;4538234.645;4273916.806;Kyrgyzstan;
TUS5;TUAS;73.82425;42.32009;2923.437;1316395.649;4538229.345;4273927.817;Kyrgyzstan;
TUS4;TUAS;73.82426;42.32009;2923.467;1316394.645;4538229.915;4273927.845;Kyrgyzstan;
TUS6;TUAS;73.82425;42.32010;2923.571;1316395.350;4538229.196;4273928.268;Kyrgyzstan;
TUM4;TUME;79.29705;43.02931;1921.975;867510.837;4589874.087;4331194.286;Kazakhstan;
TURC;TURC;75.38817;40.51690;3513.396;1225596.722;4701155.906;4124069.070;China;
TURG;TURG;75.38817;40.51690;3513.422;1225596.678;4701155.193;4124070.741;Kazakhstan;
TUR6;TURG;77.64195;43.31474;1242.504;994967.250;4541220.909;4353861.065;Kazakhstan;
TUR4;TURG;77.64202;43.31474;1242.273;994961.919;4541221.637;4353861.184;Kazakhstan;
TUR5;TURG;77.64205;43.31476;1242.640;994958.778;4541221.053;4353863.041;Kazakhstan;
URS1;TURS;76.33777;42.11031;2364.849;1119705.169;4606412.236;4256287.508;Kyrgyzstan;
TURS;TURS;76.33778;42.11031;2365.104;1119705.372;4606412.868;4256287.234;Kyrgyzstan;
URS4;TURS;76.33777;42.11033;2364.974;1119705.639;4606410.887;4256289.043;Kyrgyzstan;
URS7;TURS;76.33778;42.11035;2364.948;1119704.039;4606409.506;4256290.892;Kyrgyzstan;
TUT5;TUTK;71.20282;40.21149;848.806;1571858.191;4618047.961;4096495.129;Kyrgyzstan;
TUT4;TUTK;71.20286;40.21150;848.961;1571855.088;4618048.578;4096495.880;Kyrgyzstan;
TUTK;TUTK;71.20287;40.21154;848.830;1571853.087;4618046.650;4096498.615;Kyrgyzstan;
TYUP;TYUP;78.50887;42.63159;1742.110;936526.799;4606820.536;4298659.840;Kyrgyzstan;
YUZ4;TYUZ;75.74083;41.97913;2241.397;1170018.543;4603868.993;4245379.961;Kyrgyzstan;
TYUZ;TYUZ;75.74084;41.97913;2241.239;1170018.052;4603869.213;4245379.648;Kyrgyzstan;
TZB4;TZBL;73.33425;40.56933;1910.773;1391863.573;4649416.725;4127453.302;Kyrgyzstan;
TZB5;TZBL;73.33425;40.56933;1910.773;1391870.573;4649415.633;4127451.525;Kyrgyzstan;
TZBL;TZBL;73.33425;40.56933;1910.773;1391859.847;4649419.240;4127451.025;Kyrgyzstan;
UCH4;UCHT;79.26768;41.99008;3180.374;884568.522;4667011.063;4246912.220;Kyrgyzstan;
UCU5;UCU4;75.29308;41.35853;1848.960;1217522.934;4638639.345;4193613.605;Kyrgyzstan;
UCU4;UCU4;75.29305;41.35855;1849.163;1217525.002;4638637.316;4193615.516;Kyrgyzstan;
UGAM;UGAM;70.25372;42.28045;1605.706;1597140.478;4449312.407;4269782.574;Kyrgyzstan;
UGM4;UGMS;69.92293;41.71769;890.126;1636979.273;4478808.396;4222842.237;Uzbekistan;
UGT4;UGT4;74.75061;41.41815;1618.619;1260188.705;4622512.563;4198430.453;Kyrgyzstan;
UGT5;UGT4;74.75058;41.41816;1618.606;1260191.085;4622511.122;4198431.299;Kyrgyzstan;
UKO4;UKOK;75.95932;41.93434;2595.601;1153325.278;4611780.805;4241915.496;Kyrgyzstan;
UKO5;UKOK;75.95934;41.93435;2595.571;1153322.801;4611780.149;4241916.892;Kyrgyzstan;
UKOK;UKOK;75.95932;41.93440;2595.760;1153323.906;4611776.809;4241920.529;Kyrgyzstan;
ULT4;ULT4;78.92631;42.85794;2324.087;899740.217;4597186.359;4317527.501;Kazakhstan;
ULU1;ULUK;75.07977;42.34640;2634.599;1216087.265;4563884.348;4275877.038;Kyrgyzstan;
ULU2;ULUK;75.07977;42.34640;2634.599;1216066.706;4563876.703;4275898.959;Kyrgyzstan;
ULU4;ULUK;75.07977;42.34640;2634.599;1216079.302;4563875.511;4275894.208;Kyrgyzstan;
ULUK;ULUK;75.07977;42.34640;2634.455;1216078.894;4563874.829;4275894.550;Kyrgyzstan;
URM6;URMA;71.95775;42.35351;1382.333;1462382.870;4489484.323;4275635.063;Kyrgyzstan;
URMA;URMA;71.95780;42.35355;1383.736;1462378.564;4489483.860;4275639.176;Kyrgyzstan;
URM4;URMA;71.95787;42.35366;1383.495;1462370.379;4489477.500;4275648.161;Kyrgyzstan;
URM5;URMA;71.95785;42.35368;1384.092;1462372.115;4489476.181;4275649.828;Kyrgyzstan;
URUM;URUM;87.60067;43.80795;858.827;193030.828;4606851.324;4393311.450;China;
URUO;URUO;87.70539;43.81361;845.284;184592.031;4606751.170;4393756.406;China;
USH4;USHK;77.96898;45.73888;322.675;929517.809;4361425.809;4545270.282;Kazakhstan;
USH5;USHK;77.96898;45.73891;322.296;929518.060;4361423.592;4545271.822;Kazakhstan;
USHK;USHK;77.96899;45.73893;322.133;929516.832;4361422.252;4545273.117;Kazakhstan;
USTK;USTK;84.76895;50.93945;1004.050;367232.429;4011119.953;4930082.712;Russia;
UUM5;UUMB;73.47805;41.21912;1550.576;1366674.497;4607331.486;4181780.045;Kyrgyzstan;
UUMB;UUMB;73.47811;41.21913;1551.152;1366669.599;4607332.612;4181781.333;Kyrgyzstan;
UUM4;UUMB;73.47805;41.21915;1550.931;1366673.761;4607329.982;4181782.494;Kyrgyzstan;
UUM6;UUMB;73.47806;41.21915;1551.020;1366672.941;4607330.161;4181782.654;Kyrgyzstan;
UYG5;UYGT;79.53217;44.47830;1944.101;828437.943;4483897.117;4447529.896;Kazakhstan;
UYG4;UYGT;79.53212;44.47831;1944.313;828441.200;4483895.801;4447530.919;Kazakhstan;
UYGT;UYGT;79.53207;44.47832;1944.040;828445.184;4483894.116;4447531.481;Kazakhstan;
UZB4;UZBE;74.92869;41.93629;2342.355;1236004.084;4589967.864;4241907.858;Kyrgyzstan;
UZBE;UZBE;74.92869;41.93629;2342.355;1236003.394;4589971.527;4241905.021;Kyrgyzstan;
UZL4;UZBL;79.02194;43.14404;1567.270;887831.469;4576851.940;4340262.900;Kazakhstan;
UZG4;UZGR;74.77968;41.06867;2531.690;1264743.063;4648511.826;4169839.227;Kyrgyzstan;
UZU6;UZUN;72.49768;41.97960;1227.116;1428363.973;4529551.296;4244740.223;Kyrgyzstan;
UZU5;UZUN;72.49771;41.97962;1227.477;1428361.211;4529551.151;4244741.834;Kyrgyzstan;
UZU1;UZUN;72.49771;41.97966;1228.108;1428360.155;4529548.320;4244746.321;Kyrgyzstan;
UZUN;UZUN;72.49771;41.97966;1228.134;1428360.217;4529548.402;4244746.207;Kyrgyzstan;
UZU4;UZUN;72.49777;41.97969;1229.147;1428355.148;4529548.306;4244749.628;Kyrgyzstan;
VAV5;VAVL;81.41434;50.66671;414.667;604771.554;4005643.069;4910448.179;Kazakhstan;
VAV4;VAVL;81.41432;50.66673;415.105;604772.808;4005641.097;4910450.142;Kazakhstan;
VAVL;VAVL;81.41427;50.66676;414.891;604775.366;4005638.254;4910451.874;Kazakhstan;
VBA4;VBAN;80.13181;42.46116;2671.444;807988.652;4644787.630;4285336.148;Kazakhstan;
VJK4;VJKU;77.86340;42.03135;2756.790;997964.540;4640623.094;4250036.276;Kyrgyzstan;
VKA1;VKAR;79.39243;42.54614;2693.677;866687.084;4627718.651;4292313.859;Kyrgyzstan;
VKA4;VKAR;79.39242;42.54615;2693.867;866687.769;4627717.966;4292314.738;Kyrgyzstan;
VKE4;VKEN;78.83344;42.89748;2198.601;906594.113;4592698.846;4320661.613;Kazakhstan;
VKR4;VKRT;76.33629;42.18449;2057.105;1118464.508;4600786.968;4262192.046;Kyrgyzstan;
VKRT;VKRT;76.33634;42.18450;2056.231;1118460.379;4600786.999;4262191.819;Kyrgyzstan;
VKU4;VKUR;78.25113;42.96217;2342.690;952245.088;4578560.983;4326020.170;Kazakhstan;
VOSH;VOSH;77.00762;42.04200;2144.577;1066883.191;4623984.926;4250505.466;Kyrgyzstan;
VOS5;VOSH;77.00764;42.04201;2144.226;1066881.408;4623983.960;4250506.425;Kyrgyzstan;
VOS4;VOSH;77.00762;42.04206;2146.047;1066883.005;4623981.401;4250511.527;Kyrgyzstan;
VSE4;VSEK;74.99924;42.22123;2606.668;1224909.750;4571180.797;4265585.068;Kyrgyzstan;
VSHA;VSHA;75.37750;42.52480;1851.177;1188824.225;4556629.944;4289996.679;Kyrgyzstan;
VSH4;VSHA;75.37734;42.52484;1850.155;1188835.573;4556623.518;4289998.845;Kyrgyzstan;
VSH5;VSHA;75.37767;42.52494;1850.210;1188808.048;4556622.849;4290007.207;Kyrgyzstan;
VSO5;VSO4;74.27559;42.53338;1942.732;1276075.558;4532369.870;4290761.184;Kyrgyzstan;
VSO4;VSO4;74.27552;42.53342;1942.832;1276080.216;4532365.416;4290764.629;Kyrgyzstan;
VTG4;VTGB;76.74399;42.04009;2589.662;1088256.657;4619486.684;4250646.244;Kyrgyzstan;
VTUR;VTUR;76.98079;42.02108;2428.639;1069446.405;4625206.252;4248969.596;Kyrgyzstan;
VTU4;VTUR;76.98082;42.02110;2428.556;1069444.233;4625205.670;4248970.672;Kyrgyzstan;
WLBO;WLBO;87.62644;43.66549;1153.919;191420.456;4618086.212;4382076.955;China;
WLMK;WLMK;85.19973;43.08754;2630.744;390565.960;4650865.926;4336406.510;China;
WUPA;WUPA;75.50982;39.31145;1428.108;1236735.179;4785393.922;4020006.570;China;
WUQO;WUQO;75.12450;39.69722;2113.530;1262001.741;4751124.359;4053525.014;China;
WUSH;WUSH;79.20976;41.20230;1395.269;899913.688;4721881.967;4180271.907;China;
XISH;XISH;87.45319;43.81177;801.724;204872.996;4606004.736;4393577.950;China;
XYUA;XYUA;83.25679;43.39762;1023.660;545116.181;4610343.354;4360407.610;China;
YAN4;YAN4;68.74364;40.31143;249.964;1765796.340;4539243.084;4104572.634;Uzbekistan;
YENG;YENG;76.17408;38.93539;1248.971;1187410.440;4824844.471;3987525.264;China;
YZG4;YZGA;73.20646;41.33453;1457.226;1386034.187;4592637.522;4191353.466;Kyrgyzstan;
YZG5;YZGA;73.20646;41.33455;1456.759;1386033.501;4592636.053;4191354.572;Kyrgyzstan;
ZAR5;ZARL;82.32146;49.93400;390.050;549656.751;4076849.328;4858365.676;Kazakhstan;
ZAR4;ZARL;82.32147;49.93402;390.023;549656.015;4076847.721;4858367.053;Kazakhstan;
ZARL;ZARL;82.32149;49.93406;389.683;549654.005;4076844.823;4858369.260;Kazakhstan;
ZASN;ZASN;84.85555;47.43443;814.995;387612.157;4305378.906;4675169.536;Kazakhstan;
ZAS5;ZASN;84.85545;47.43444;815.197;387619.338;4305376.879;4675171.077;Kazakhstan;
ZAS4;ZASN;84.85553;47.43445;815.664;387613.092;4305377.739;4675171.490;Kazakhstan;
ZBAY;ZBAY;75.00855;41.09204;2861.373;1245787.648;4652118.728;4172012.994;Kyrgyzstan;
ZBA6;ZBAY;75.00856;41.09205;2861.599;1245786.924;4652118.416;4172013.855;Kyrgyzstan;
ZBA4;ZBAY;75.00858;41.09205;2861.781;1245785.755;4652119.381;4172013.402;Kyrgyzstan;
ZBA5;ZBAY;75.00856;41.09206;2861.629;1245786.919;4652117.973;4172014.389;Kyrgyzstan;
ZER4;ZERV;67.01844;39.68257;736.705;1919322.928;4525682.176;4051397.556;Uzbekistan;
ZESN;ZESN;80.88926;49.61861;371.062;655621.348;4088273.064;4835696.679;Kazakhstan;
ZES5;ZESN;80.88922;49.61862;371.168;655624.054;4088271.732;4835697.465;Kazakhstan;
ZES4;ZESN;80.88919;49.61864;371.235;655626.272;4088269.803;4835698.860;Kazakhstan;
ZINK;ZINK;67.02542;39.41435;906.917;1926222.463;4543500.898;4028536.664;Uzbekistan;
ZIN4;ZINK;67.02545;39.41435;906.978;1926220.111;4543502.050;4028536.576;Uzbekistan;
ZIN5;ZINK;67.02547;39.41438;907.159;1926217.952;4543500.608;4028539.506;Uzbekistan;
ZKKR;ZKKR;74.37851;42.30153;2402.107;1272702.802;4551717.307;4272051.606;Kyrgyzstan;
ZKK5;ZKKR;74.37853;42.30154;2402.314;1272701.419;4551717.526;4272052.022;Kyrgyzstan;
ZKK4;ZKKR;74.37858;42.30169;2403.495;1272694.428;4551708.637;4272065.257;Kyrgyzstan;
ZKK6;ZKKR;74.37864;42.30172;2403.214;1272689.012;4551707.630;4272067.513;Kyrgyzstan;
ZTAR;ZTR4;82.56563;47.61054;778.976;557455.968;4272107.283;4688367.519;Kazakhstan;
ZTR4;ZTR4;82.56562;47.61056;779.548;557456.540;4272106.063;4688369.348;Kazakhstan;
ZTR5;ZTR4;82.56559;47.61057;779.635;557459.282;4272105.032;4688370.048;Kazakhstan;

