Mark;Site;Longit_d;Latit_d;Altit_m;X_m;Y_m;Z_m;Country
K121;K120;69.64969;43.50437;758.96356;1611553.885;4344865.842;4368836.12;Kazakhstan
K122;K120;69.64963;43.50435;759.01195;1611558.757;4344865.165;4368835.118;Kazakhstan
K131;K130;70.28506;53.1261;280.68251;1293915.031;3610796.496;5079201.305;Kazakhstan
K140;K140;74.00998;51.6942;288.57191;1091383.424;3808608.319;4982010.463;Kazakhstan
K141;K140;74.01001;51.69422;288.62369;1091380.737;3808607.426;4982011.756;Kazakhstan
K142;K140;74.01003;51.69419;288.53625;1091379.866;3808609.53;4982010.246;Kazakhstan
K150;K150;71.84836;51.33811;389.4441;1243943.045;3794262.79;4957434.289;Kazakhstan
K151;K150;71.84838;51.33813;389.94694;1243940.82;3794261.678;4957436.295;Kazakhstan
K152;K150;71.84837;51.33812;389.82219;1243942.108;3794262.248;4957435.395;Kazakhstan
K160;K160;73.65993;49.40719;746.3705;1169983.169;3990665.724;4820713.368;Kazakhstan
K161;K160;73.65988;49.40719;746.78375;1169986.732;3990665.119;4820713.498;Kazakhstan
K162;K160;73.6599;49.40718;746.55968;1169984.858;3990665.849;4820713.069;Kazakhstan
K170;K170;74.57066;46.90746;409.53766;1161430.326;4208155.76;4635038.397;Kazakhstan
K171;K170;74.57066;46.90746;409.53766;1161436.38;4208150.279;4635041.87;Kazakhstan
K172;K170;74.57074;46.90755;409.12985;1161428.64;4208145.045;4635047.977;Kazakhstan
K180;K180;73.55275;45.7547;298.02995;1262233.367;4275678.207;4546479.366;Kazakhstan
K181;K180;73.55273;45.7547;298.53376;1262235.127;4275678.32;4546479.434;Kazakhstan
K182;K180;73.55272;45.75471;298.45262;1262235.484;4275677.079;4546480.381;Kazakhstan
K190;K190;75.78266;50.80777;404.83668;991952.9193;3915176.44;4920372.509;Kazakhstan
K191;K190;75.78268;50.8078;405.20447;991950.9937;3915174.815;4920374.64;Kazakhstan
K192;K190;75.7827;50.80778;405.10498;991950.2178;3915176.533;4920373.318;Kazakhstan
K1G4;K1G4;73.39625;41.76479;1034.49296;1361663.266;4566521.439;4226842.144;Kyrgyzstan
K1G5;K1G4;73.39622;41.76478;1035.73311;1361665.701;4566522.426;4226842.168;Kyrgyzstan
K1GS;K1G4;73.39619;41.76476;1037.39793;1361668.756;4566524.283;4226841.697;Kyrgyzstan
K200;K200;78.90008;50.16824;233.66035;788114.3043;4017080.394;4874976.18;Kazakhstan
K201;K200;78.90009;50.16829;233.76952;788113.1298;4017076.614;4874979.533;Kazakhstan
K202;K200;78.90006;50.16826;233.74296;788115.6254;4017078.724;4874977.396;Kazakhstan
K210;K210;78.40573;49.1935;604.21312;839405.8472;4091343.513;4805106.891;Kazakhstan
K211;K210;78.40574;49.19352;604.29294;839404.8951;4091342.656;4805107.815;Kazakhstan
K212;K210;78.40575;49.19355;604.19124;839403.7571;4091339.982;4805110.165;Kazakhstan
K220;K220;76.06396;49.3848;808.43509;1002025.966;4038104.191;4819139.446;Kazakhstan
K221;K220;76.06401;49.38478;808.66942;1002022.922;4038106.377;4819138.526;Kazakhstan
K222;K220;76.06398;49.38477;808.60005;1002025.245;4038106.844;4819137.57;Kazakhstan
K230;K230;75.84428;47.8518;626.50999;1048755.672;4158151.78;4706298.929;Kazakhstan
K231;K230;75.8443;47.85178;626.50227;1048754.448;4158153.951;4706297.244;Kazakhstan
K232;K230;75.84429;47.85179;626.48704;1048754.972;4158152.547;4706298.334;Kazakhstan
K240;K240;80.04702;49.06542;586.66322;723737.8065;4124306.366;4795771.707;Kazakhstan
K241;K240;80.04698;49.06543;586.72053;723740.4036;4124305.004;4795772.523;Kazakhstan
K242;K240;80.04695;49.06544;586.4863;723742.5095;4124303.673;4795773.035;Kazakhstan
KAB4;KATB;81.60934;49.52817;458.28724;605316.083;4103821.314;4829239.768;Kazakhstan
KAB5;KATB;81.60937;49.52816;458.25963;605314.1516;4103823.026;4829238.531;Kazakhstan
KAI4;KAIN;76.10109;41.17251;2366.2478;1155355.854;4668955.948;4178421.061;Kyrgyzstan
KAI5;KAIN;76.10155;41.17273;2367.6019;1155314.979;4668950.749;4178440.128;Kyrgyzstan
KAI6;KAIN;76.10103;41.17282;2356.27646;1155353.176;4668925.63;4178440.29;Kyrgyzstan
KAIN;KAIN;76.10109;41.17256;2365.42569;1155354.984;4668951.239;4178424.37;Kyrgyzstan
KAIT;KAIT;85.43934;50.14624;1037.91265;325695.7437;4083085.737;4874025.803;Russia
KAK1;KAKK;72.90426;42.80618;1069.31821;1377950.882;4480282.436;4312456.433;Kazakhstan
KAKK;KAKK;72.90424;42.80629;1067.35928;1377948.926;4480272.482;4312464.308;Kazakhstan
KAL4;KAL4;76.39721;42.30624;1676.52644;1111367.309;4592860.461;4271949.899;Kyrgyzstan
KALA;I075;78.03688;39.71398;1088.11344;1018562.646;4807173.312;4054302.266;China
KALP;I073;79.03528;40.50338;1115.13221;923907.2121;4768764.483;4121369.089;China
KAM4;KAMB;73.32231;41.75573;1924.55217;1367939.521;4566038.246;4226684.043;Kyrgyzstan
KAM5;KAMB;73.32241;41.75592;1922.09983;1367926.597;4566025.09;4226698.632;Kyrgyzstan
KAMB;KAMB;73.32229;41.75573;1924.54176;1367940.776;4566037.498;4226684.433;Kyrgyzstan
KAN4;KAZN;65.99304;39.69622;550.30839;1999553.847;4489596.904;4052442.159;Uzbekistan
KAN5;KAZN;65.99307;39.69624;550.42681;1999551.36;4489596.674;4052443.817;Uzbekistan
KAR4;KARG;76.77628;41.73273;2712.60293;1090890.287;4642386.514;4225302.049;Kyrgyzstan
KAR5;KARG;76.77625;41.73265;2711.84616;1090893.522;4642390.811;4225295.491;Kyrgyzstan
KAR6;KARG;76.77617;41.73274;2711.2158;1090898.931;4642382.284;4225302.468;Kyrgyzstan
KARG;KARG;76.77623;41.73273;2711.55153;1090894.194;4642384.482;4225301.817;Kyrgyzstan
KAS4;KASH;75.44336;42.3002;2241.86306;1187889.494;4574564.725;4271834.253;Kyrgyzstan
KAS7;KASH;75.44336;42.30024;2241.68727;1187888.039;4574561.807;4271837.496;Kyrgyzstan
KASC;KASC;75.9226;39.51663;1275.49237;1198653.311;4780017.828;4037538.882;China
KASH;KASH;75.44336;42.3002;2241.83623;1187888.97;4574564.695;4271834.391;Kyrgyzstan
KAST;KAST;75.96739;43.04487;1360.89477;1132244.452;4530197.848;4332074.683;Kazakhstan
KASU;KASU;76.83999;41.13176;3428.38009;1095910.135;4687146.86;4175710.94;Kyrgyzstan
KAT4;KATG;80.0084;42.73996;1941.19832;814259.2067;4621854.573;4307646.884;Kazakhstan
KATB;KATB;81.60933;49.52813;458.17117;605317.5164;4103825.045;4829236.347;Kazakhstan
KAV0;KAV0;77.31639;43.94866;454.39277;1009958.025;4487518.442;4404301.365;Kazakhstan
KAZA;KAZA;73.94351;41.38494;1409.19543;1325808.368;4606496.622;4195524.487;Kyrgyzstan
KAZN;KAZN;65.99313;39.69621;549.99145;1999547.12;4489600.729;4052440.821;Uzbekistan
KAZY;KAZY;69.82378;42.03634;1253.39578;1636670.762;4454043.06;4249441.87;Kazakhstan
KBK4;KBK4;75.34462;41.30407;2067.8403;1214402.701;4643757.43;4189214.768;Kyrgyzstan
KBK5;KBK4;75.34461;41.30404;2067.82332;1214403.59;4643759.19;4189212.549;Kyrgyzstan
KBL4;KBUL;75.34292;41.23721;2387.156;1215841.081;4648693.48;4183842.8;Kyrgyzstan
KBL5;KBUL;75.3429;41.23723;2386.10473;1215842.11;4648691.25;4183843.369;Kyrgyzstan
KBU4;KBUR;71.57866;42.20193;3295.05329;1496083.22;4491803.8;4264458.985;Kyrgyzstan
KBU5;KBUR;71.57867;42.20186;3292.66238;1496083.414;4491807.36;4264451.623;Kyrgyzstan
KBUL;KBUL;75.34287;41.23721;2385.68083;1215844.206;4648691.446;4183841.908;Kyrgyzstan
KBUR;KBUR;71.57867;42.20197;3295.9045;1496081.886;4491802.058;4264462.616;Kyrgyzstan
KDJ4;KDJY;75.51239;41.53008;2378.56932;1196702.288;4631436.471;4208250.387;Kyrgyzstan
KDJ5;KDJY;75.51242;41.53007;2377.87977;1196700.29;4631436.676;4208249.688;Kyrgyzstan
KDJY;KDJY;75.51241;41.53003;2376.82152;1196701.464;4631438.95;4208245.283;Kyrgyzstan
KEG4;KEGT;75.09372;42.52355;2171.08725;1211468.331;4551008.054;4290111.034;Kyrgyzstan
KEG5;KEGT;75.09375;42.52356;2170.34652;1211459.702;4551004.125;4290110.762;Kyrgyzstan
KEGT;KEGT;75.09371;42.52354;2170.78382;1211469.142;4551008.365;4290110.036;Kyrgyzstan
KEK4;KEKE;76.05711;42.75853;1722.23138;1130432.244;4553243.363;4309013.975;Kyrgyzstan
KEK5;KEKE;76.05714;42.75841;1722.18378;1130431.94;4553252.315;4309004.338;Kyrgyzstan
KEK6;KEKE;76.05714;42.75841;1722.18378;1130430.846;4553256.926;4308998.008;Kyrgyzstan
KEKE;KEKE;76.05709;42.75849;1722.09455;1130434.987;4553245.735;4309010.048;Kyrgyzstan
KEKS;KEKS;76.74245;42.06975;2109.92719;1087792.557;4616962.019;4252772.039;Kyrgyzstan
KEL4;KEL4;74.99649;41.28064;1933.09192;1243013.671;4637854.087;4187170.553;Kyrgyzstan
KEL5;KEL4;74.99651;41.28067;1932.93068;1243011.669;4637852.206;4187172.975;Kyrgyzstan
KELI;KELI;77.90571;37.25806;2115.89315;1065287.226;4971537.499;3841507.713;China
KELP;I073;79.03528;40.50338;1115.12539;923907.1185;4768764.465;4121369.121;China
KEN4;KENK;72.36714;42.59331;1508.47816;1424846.28;4482761.414;4295372.374;Kyrgyzstan
KEN6;KENK;72.3672;42.5933;1507.16246;1424841.118;4482763.091;4295370.097;Kyrgyzstan
KENG;KENG;76.42226;41.49437;2226.84104;1123596.983;4652300.64;4205179.544;Kyrgyzstan
KENK;KENK;72.36716;42.59332;1508.09273;1424844.276;4482761.707;4295372.224;Kyrgyzstan
KET4;KETP;80.35456;43.40038;1837.88661;777911.5721;4577205.901;4361189.232;Kazakhstan
KEZI;KEZI;82.44639;41.79006;1141.17081;626170.0961;4722085.712;4229006.603;China
KFI4;KFI4;67.69072;37.79541;499.62865;1915782.798;4669014.664;3887830.063;Uzbekistan
KHA1;KHAI;73.67218;44.38014;484.27924;1283759.187;4382212.675;4438717.288;Kazakhstan
KHA4;KHAI;73.67216;44.38008;484.41747;1283761.929;4382216.854;4438712.609;Kazakhstan
KHA5;KHAI;73.67173;44.38018;485.72912;1283793.078;4382200.46;4438721.576;Kazakhstan
KHAI;KHAI;73.67218;44.38014;484.46283;1283759.063;4382212.852;4438717.452;Kazakhstan
KHAZ;KHAZ;72.29647;40.36173;1062.28559;1480197.873;4637085.82;4109360.423;Kyrgyzstan
KHZ4;KHAZ;72.29651;40.36171;1063.03949;1480195.101;4637088.435;4109359.642;Kyrgyzstan
KHZ5;KHAZ;72.29649;40.36174;1063.07469;1480196.49;4637086.027;4109361.929;Kyrgyzstan
KIN4;KIND;74.06606;42.20406;2104.15338;1299444.893;4551499.717;4263834.452;Kyrgyzstan
KIND;KIND;74.06607;42.20407;2104.2741;1299442.906;4551499.497;4263835.586;Kyrgyzstan
KIT3;KITB;66.88545;39.13477;622.47325;1944945.133;4556652.245;4004326.004;Uzbekistan
KIT4;KITB;67.03925;39.15139;816.48577;1932309.776;4560922.74;4005880.06;Uzbekistan
KIT5;KITB;67.03922;39.15138;816.33757;1932312.484;4560922.305;4005879.033;Uzbekistan
KITB;KITB;67.03928;39.15138;815.83844;1932306.922;4560924.052;4005878.978;Uzbekistan
KIZI;KIZI;76.46298;38.65565;1286.55595;1167629.244;4849719.528;3963339.969;China
KJA1;KJAR;73.19029;41.00063;1501.17631;1394400.47;4615650.116;4163460.949;Kyrgyzstan
KJA4;KJAR;73.19036;41.00066;1504.67918;1394394.994;4615652.352;4163465.636;Kyrgyzstan
KJA5;KJAR;73.19036;41.00066;1504.67918;1394395.958;4615652.927;4163464.308;Kyrgyzstan
KJA6;KJAR;73.19027;41.00065;1502.08507;1394401.77;4615648.793;4163463.35;Kyrgyzstan
KJA7;KJAR;73.19036;41.00066;1504.77995;1394394.811;4615652.107;4163466.148;Kyrgyzstan
KJAR;KJAR;73.19029;41.00067;1502.3945;1394400.249;4615648.413;4163464.806;Kyrgyzstan
KJG4;KJGH;73.32363;41.78535;967.97564;1367000.68;4563286.397;4228501.084;Kyrgyzstan
KJG5;KJGH;73.32338;41.78531;962.29007;1367019.935;4563278.978;4228494.317;Kyrgyzstan
KJGH;KJGH;73.32338;41.7853;961.86485;1367020.154;4563279.492;4228493.058;Kyrgyzstan
KKA4;KKAU;72.8935;41.69529;1248.99413;1403240.292;4559462.268;4221223.082;Kyrgyzstan
KKA5;KKAU;72.89346;41.69531;1248.77714;1403242.847;4559459.369;4221224.588;Kyrgyzstan
KKA6;KKAU;72.89351;41.69524;1248.3003;1403240.457;4559464.688;4221218.958;Kyrgyzstan
KKAB;KKAB;72.73446;39.67755;2904.00425;1459629.541;4696276.024;4052349.343;Kyrgyzstan
KKAU;KKAU;72.89351;41.69526;1248.64718;1403239.909;4559464.224;4221220.392;Kyrgyzstan
KKB4;KKAB;72.73449;39.67753;2903.80285;1459627.062;4696278.318;4052347.273;Kyrgyzstan
KKB5;KKAB;72.7344;39.67755;2904.06326;1459634.205;4696275.307;4052348.592;Kyrgyzstan
KKC4;KKCH;74.92811;41.73662;3263.54463;1240076.216;4604908.484;4225991.364;Kyrgyzstan
KKC5;KKCH;74.92814;41.73669;3262.36836;1240072.391;4604903.398;4225996.222;Kyrgyzstan
KKC6;KKCH;74.92809;41.73672;3262.32335;1240076.173;4604899.943;4225998.775;Kyrgyzstan
KKCH;KKCH;74.92816;41.73662;3262.58061;1240072.567;4604908.8;4225990.694;Kyrgyzstan
KKD4;KKDJ;76.20477;41.90162;2744.09937;1134163.679;4619145.425;4239309.35;Kyrgyzstan
KKD5;KKDJ;76.20464;41.90164;2742.16507;1134173.524;4619139.897;4239309.796;Kyrgyzstan
KKD6;KKDJ;76.20473;41.90153;2745.02233;1134168.709;4619151.337;4239302.976;Kyrgyzstan
KKDJ;KKDJ;76.20471;41.90164;2742.51759;1134168.188;4619142.148;4239310.544;Kyrgyzstan
KKG4;KKG4;75.31487;41.56087;2447.88175;1212099.823;4625138.289;4210857.296;Kyrgyzstan
KKG5;KKG4;75.31482;41.5609;2445.93881;1212102.864;4625134.232;4210857.941;Kyrgyzstan
KKO4;KKOL;75.1463;42.25744;2722.60379;1212501.38;4571778.151;4268641.974;Kyrgyzstan
KKO5;KKOL;75.14631;42.25746;2722.26884;1212499.95;4571777.063;4268643.029;Kyrgyzstan
KKO6;KKOL;75.14634;42.25738;2724.37996;1212499.426;4571785.006;4268637.874;Kyrgyzstan
KKOL;KKOL;75.14634;42.25741;2723.76897;1212498.929;4571782.143;4268640.204;Kyrgyzstan
KKOY;KKOY;75.55005;41.01822;2352.60214;1203020.54;4668528.843;4165489.324;Kyrgyzstan
KKT1;KKTL;70.22205;43.27107;665.15473;1574072.513;4377439.458;4349933.897;Kazakhstan
KKT4;KKTL;70.22203;43.27111;664.97809;1574073.614;4377436.29;4349936.506;Kazakhstan
KKT5;KKTL;70.22198;43.27112;664.54152;1574076.678;4377433.898;4349937.163;Kazakhstan
KKT6;KKTL;70.22201;43.27108;664.97505;1574075.564;4377437.712;4349934.386;Kazakhstan
KKTL;KKTL;70.2221;43.27117;663.91021;1574066.348;4377433.552;4349940.326;Kazakhstan
KKY1;KKOY;75.54997;41.01818;2350.32738;1203004.351;4668521.782;4165505.307;Kyrgyzstan
KKY2;KKOY;75.54997;41.01818;2350.32738;1203008.417;4668525.425;4165500.708;Kyrgyzstan
KKY3;KKOY;75.54997;41.01818;2350.32738;1203020.911;4668528.956;4165489.336;Kyrgyzstan
KKY4;KKOY;75.55007;41.01823;2353.13842;1203012.717;4668529.753;4165495.027;Kyrgyzstan
KKY5;KKOY;75.5501;41.0183;2352.47562;1203006.561;4668521.9;4165504.521;Kyrgyzstan
KKY6;KKOY;75.55003;41.01818;2352.35606;1203016.564;4668531.905;4165490.327;Kyrgyzstan
KKYG;KKG4;75.31484;41.56086;2446.67212;1212101.712;4625137.676;4210855.614;Kyrgyzstan
KLM4;KLMD;70.97475;39.74182;1640.21654;1601350.667;4644008.993;4057032.615;Kyrgyzstan
KLM5;KLMD;70.97475;39.74183;1639.73635;1601349.521;4644007.533;4057033.958;Kyrgyzstan
KLMD;KLMD;70.97473;39.74182;1640.13262;1601352.349;4644008.132;4057032.81;Kyrgyzstan
KMTR;KUMT;78.19921;41.8678;4158.5046;973446.9543;4659305.874;4237455.67;Kyrgyzstan
KNG4;KNGT;71.46423;39.8754;2657.70988;1558847.537;4649254.333;4069081.878;Kyrgyzstan
KNG5;KNGT;71.4642;39.87541;2657.71012;1558849.582;4649253.306;4069082.267;Kyrgyzstan
KNGT;KNGT;71.46423;39.8754;2657.70988;1558846.664;4649253.287;4069083.373;Kyrgyzstan
KNGT;KNGT;71.46423;39.87542;2657.66797;1558846.664;4649253.287;4069083.373;Kyrgyzstan
KNS4;KNSU;78.82515;43.02353;1731.80346;905341.9687;4582867.382;4330594.663;Kazakhstan
KNS5;KNSU;78.82516;43.02353;1731.86532;905341.5082;4582867.687;4330594.529;Kazakhstan
KNS6;KNSU;78.82515;43.02352;1731.80737;905342.4033;4582868.297;4330593.614;Kazakhstan
KNSU;KNSU;78.82514;43.0236;1731.96164;905342.8081;4582862.072;4330600.096;Kazakhstan
KOD4;KODR;76.79639;42.11762;1941.64518;1082602.597;4614391.206;4256606.091;Kyrgyzstan
KODR;KODR;76.79641;42.11764;1941.69482;1082600.274;4614390.585;4256607.403;Kyrgyzstan
KOG4;KOGR;76.40811;41.89204;3052.94656;1117983.963;4624056.07;4238723.128;Kyrgyzstan
KOG5;KOGR;76.40805;41.89203;3052.83027;1117989.28;4624055.502;4238722.184;Kyrgyzstan
KOGR;KOGR;76.4081;41.89202;3052.39223;1117985.378;4624056.691;4238721.335;Kyrgyzstan
KOK4;KOKP;78.64546;43.45186;1159.53566;913209.0687;4547629.567;4364878.037;Kazakhstan
KOK4;KOKP;78.64546;43.45186;1159.53566;913209.0687;4547629.567;4364878.037;Kazakhstan
KOK5;KOKP;78.64546;43.45188;1159.40204;913208.7857;4547628.394;4364879.129;Kazakhstan
KOK6;KOKP;78.64543;43.45186;1159.96725;913211.8225;4547629.419;4364878.26;Kazakhstan
KOKI;KOKI;73.9331;41.38295;1429.77004;1326689.972;4606410.954;4195372.251;Kazakhstan
KOKP;KOKP;78.64549;43.45186;1158.32971;913206.6982;4547629.495;4364878.221;Kazakhstan
KOKY;KOKY;77.17547;37.39571;2002.73451;1126484.749;4948434.004;3853591.108;China
KOL4;KOLD;79.88467;46.95886;377.51996;765973.8529;4293498.033;4638920.529;Kazakhstan
KOL5;KOLD;79.88464;46.95888;377.50031;765975.7245;4293496.142;4638921.942;Kazakhstan
KOLD;KOLD;79.88465;46.95885;377.50756;765975.765;4293498.706;4638919.655;Kazakhstan
KOM4;KOMS;76.56143;42.06962;2098.24412;1102374.185;4613503.723;4252752.838;Kyrgyzstan
KOM5;KOMS;76.56144;42.06965;2097.76476;1102372.65;4613501.403;4252755.023;Kyrgyzstan
KOMS;KOMS;76.56138;42.06963;2098.47798;1102377.712;4613502.041;4252754.097;Kyrgyzstan
KON4;KONG;76.61479;42.06919;2036.50024;1098073.863;4614514.905;4252676.033;Kyrgyzstan
KON5;KONG;76.61482;42.0692;2036.00341;1098070.892;4614514.225;4252676.79;Kyrgyzstan
KONG;KONG;76.61476;42.06923;2035.2134;1098075.207;4614510.329;4252678.719;Kyrgyzstan
KOR4;KORO;84.9588;49.41163;1008.80378;365410.1037;4142347.945;4821234.299;Kazakhstan
KOR5;KORO;84.95876;49.41161;1008.67946;365413.6747;4142349.458;4821232.578;Kazakhstan
KORG;KORG;80.88481;44.12035;858.08475;726639.2965;4528870.574;4418298.205;China
KORO;KORO;84.95881;49.41161;1008.39973;365409.7639;4142349.774;4821232.269;Kazakhstan
KOS4;KOSH;76.51989;40.91824;3011.5144;1125635.191;4695788.876;4157539.039;Kyrgyzstan
KOSH;KOSH;76.51984;40.91828;3010.79549;1125638.889;4695784.826;4157541.487;Kyrgyzstan
KOSR;KOSR;76.69003;37.86197;1596.75591;1161019.992;4907643.97;3894339.601;China
KOV4;KOVK;73.8806;41.80759;2143.45094;1322364.361;4575618.995;4231126.426;Kyrgyzstan
KOVK;KOVK;73.88055;41.80752;2143.10837;1322368.301;4575622.389;4231120.861;Kyrgyzstan
KOY4;KOYL;79.09205;42.16613;2724.07932;896324.9336;4651070.93;4261127.889;Kyrgyzstan
KOY5;KOYL;79.09208;42.16614;2724.38985;896322.5846;4651071.531;4261128.205;Kyrgyzstan
KOY6;KOYL;79.09203;42.16613;2723.29201;896326.1617;4651070.717;4261126.699;Kyrgyzstan
KOYL;KOYL;79.09213;42.1662;2726.81622;896318.467;4651069.458;4261134.602;Kyrgyzstan
KRB4;KARA;76.07226;41.78072;2848.84489;1147019.543;4625283.643;4229370.952;Kyrgyzstan
KRC4;KRCH;85.0662;48.79647;951.64728;362089.7322;4194517.919;4776395.182;Kazakhstan
KRC5;KRCH;85.06627;48.79648;951.58351;362084.7016;4194517.863;4776395.529;Kazakhstan
KRCH;KRCH;85.06618;48.79654;951.52307;362091.009;4194511.694;4776400.394;Kazakhstan
KRD4;KRMD;77.08133;42.09391;2111.10212;1060064.52;4621562.256;4254765.18;Kyrgyzstan
KRD5;KRMD;77.08124;42.09392;2110.68358;1060071.467;4621559.433;4254765.874;Kyrgyzstan
KRK4;KRMK;71.90424;39.49376;2297.28516;1531418.531;4686554.786;4036229.53;Kyrgyzstan
KRK5;KRMK;71.90422;39.49375;2296.78501;1531419.919;4686554.387;4036228.68;Kyrgyzstan
KRL3;KRLT;76.43349;41.1223;3280.77739;1129272.095;4679817.898;4174822.014;Kyrgyzstan
KRL4;KRLT;76.43369;41.12272;3284.88967;1129249.437;4679795.214;4174859.604;Kyrgyzstan
KRL5;KRLT;76.43362;41.12255;3286.47731;1129258.425;4679807.22;4174846.252;Kyrgyzstan
KRL6;KRLT;76.43349;41.12232;3280.86169;1129272.49;4679816.687;4174823.385;Kyrgyzstan
KRLA;KRLA;86.1895;41.79202;925.01139;316540.8775;4752585.053;4229025.07;China
KRLT;KRLT;76.43371;41.12267;3285.68465;1129249.67;4679799.909;4174855.439;Kyrgyzstan
KRM4;KURA;78.16097;43.48268;998.04181;951123.0224;4537324.112;4367252.838;Kazakhstan
KRM5;KURA;78.16113;43.48269;997.41481;951110.3156;4537325.545;4367253.197;Kazakhstan
KRM6;KURA;78.16115;43.48268;997.26889;951108.7427;4537326.611;4367252.22;Kazakhstan
KRMD;KRMD;77.0813;42.09392;2111.45117;1060066.442;4621561.348;4254766.206;Kyrgyzstan
KRMK;KRMK;71.90421;39.49379;2296.58811;1531420.306;4686551.364;4036231.712;Kyrgyzstan
KRS4;KRSZ;79.92553;43.02649;1972.88786;817157.3126;4599361.118;4330999.457;Kazakhstan
KRSU;KRSU;76.93801;42.09258;1881.21505;1071605.517;4618826.947;4254500.887;Kyrgyzstan
KRT4;KRTK;75.04833;41.48673;1736.21864;1234873.706;4624210.535;4204218.729;Kyrgyzstan
KRT5;KRTK;75.0483;41.4866;1733.60586;1234878.323;4624217.154;4204206.206;Kyrgyzstan
KRT6;KRTK;75.04832;41.48672;1735.93729;1234874.862;4624210.943;4204217.528;Kyrgyzstan
KRTK;KRTK;75.0483;41.4866;1733.39955;1234878.445;4624217.64;4204205.383;Kyrgyzstan
KRTV;KRTV;78.61907;50.71395;126.16501;798558.1885;3967217.62;4913554.334;Kazakhstan
KRU4;KURU;76.44271;40.73434;3356.30059;1135152.383;4707508.002;4142303.055;Kyrgyzstan
KRUT;KRUT;81.20848;53.95699;89.39892;574850.9781;3716949.727;5134001.008;Russia
KRV1;KURV;73.6667;41.34403;2094.11389;1349051.8;4603406.993;4192568.533;Kyrgyzstan
KRV2;KURV;73.6667;41.34403;2094.11389;1349052.523;4603406.034;4192569.318;Kyrgyzstan
KRV4;KURV;73.6667;41.34403;2094.11389;1349037.134;4603413.071;4192566.148;Kyrgyzstan
KRV5;KURV;73.6667;41.34411;2094.52003;1349035.587;4603407.496;4192573.337;Kyrgyzstan
KSB4;KSHB;66.06133;40.7308;438.03352;1964068.12;4424105.292;4140101.249;Uzbekistan
KSB5;KSHB;66.06133;40.73083;438.01088;1964067.335;4424103.271;4140103.734;Uzbekistan
KSH4;KSHL;77.74345;44.59208;915.79746;965955.3955;4446469.936;4455823.248;Kazakhstan
KSH5;KSHL;77.74347;44.59206;915.55646;965954.0692;4446471.234;4455821.91;Kazakhstan
KSHB;KSHB;66.06141;40.7308;437.58579;1964061.602;4424107.391;4140101.464;Uzbekistan
KSHI;KSHI;75.9226;39.51663;1275.5185;1198653.346;4780017.834;4037538.856;China
KSHL;KSHL;77.74347;44.59208;915.46515;965953.7251;4446469.619;4455823.518;Kazakhstan
KSHN;KSHN;75.80671;39.50418;1310.9847;1208541.2;4778462.372;4036495.549;China
KST4;KSTY;83.99749;47.66951;533.27785;450006.2945;4279719.704;4692604.105;Kazakhstan
KST5;KSTY;83.99749;47.66948;533.57475;450006.8343;4279722.795;4692601.658;Kazakhstan
KSTU;KSTU;92.79383;55.99325;210.04223;#Н/Д;#Н/Д;#Н/Д;Russia
KSTU;KSTU;92.79383;55.99325;210.04223;#Н/Д;#Н/Д;#Н/Д;Russia
KSTY;KSTY;83.99751;47.66949;533.72915;450004.9489;4279722.151;4692602.665;Kazakhstan
KSU4;KRSU;76.93799;42.09257;1881.46419;1071607.467;4618827.203;4254500.48;Kyrgyzstan
KSU5;KRSU;76.93806;42.09255;1881.55098;1071601.779;4618830.325;4254498.67;Kyrgyzstan
KTA4;KTAU;70.9404;42.783;1074.33497;1531249.037;4432087.154;4310569.815;Kazakhstan
KTA5;KTAU;70.94032;42.78298;1074.76266;1531255.388;4432086.406;4310568.722;Kazakhstan
KTA6;KTAU;70.94031;42.78303;1074.39598;1531255.439;4432082.393;4310572.466;Kazakhstan
KTAU;KTAU;70.94035;42.78301;1074.41566;1531252.531;4432085.47;4310570.482;Kazakhstan
KTE4;AKTE;76.38696;42.61851;1962.99543;1106725.361;4570100.135;4297740.783;Kyrgyzstan
KTY4;AKTY;76.19752;42.89515;2709.49501;1116980.551;4546680.307;4320820.037;Kyrgyzstan
KUD4;KUD4;79.85749;43.63042;596.67407;814333.0077;4552072.232;4378873.043;Kazakhstan
KUK4;KUNK;75.76133;41.74928;2703.41629;1172647.917;4621141.735;4226668.009;Kyrgyzstan
KUK5;KUNK;75.7613;41.74925;2701.09167;1172650.282;4621141.407;4226664.214;Kyrgyzstan
KUL4;KULJ;76.29819;40.81641;3246.90126;1145592.985;4698763.081;4149137.17;Kyrgyzstan
KUL6;KULJ;76.29834;40.81645;3248.37058;1145579.757;4698764.957;4149140.924;Kyrgyzstan
KULA;KULA;75.56862;41.35816;1956.20764;1195229.452;4644545.065;4193653.426;Kyrgyzstan
KULJ;KULJ;76.29839;40.81647;3249.26138;1145576.201;4698764.752;4149143.211;Kyrgyzstan
KUM4;KUMB;70.60053;41.66853;1780.35545;1585325.638;4501907.388;4219356.212;Kyrgyzstan
KUM5;KUMB;70.60053;41.66853;1780.35545;1585328.283;4501911.105;4219352.47;Kyrgyzstan
KUM6;KUMB;70.60053;41.66853;1780.35545;1585324.005;4501908.144;4219355.04;Kyrgyzstan
KUMB;KUMB;70.60053;41.66853;1780.35545;1585329.441;4501907.327;4219354.592;Kyrgyzstan
